"Station Name","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL"
"Province","QUEBEC"
"Latitude","45.47"
"Longitude","-73.74"
"Elevation","32.10"
"Climate Identifier","702S006"
"WMO Identifier","71183"
"TC Identifier","WTQ"
"All times are specified in Local Standard Time (LST). Add 1 hour to adjust for Daylight Saving Time where and when it is observed."

"Legend"
"E","Estimated"
"M","Missing"
"NA","Not Available"
"‡","Partner data that is not subject to review by the National Climate Archives"

"Date/Time","Year","Month","Day","Time","Data Quality","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"2012-03-01 00:00","2012","03","01","00:00"," ","","M","","M","","M","4","","20","","","","100.99","","","","","","NA"
"2012-03-01 01:00","2012","03","01","01:00"," ","","M","","M","","M","4","","20","","","","100.92","","","","","","NA"
"2012-03-01 02:00","2012","03","01","02:00"," ","","M","","M","","M","4","","20","","","","100.82","","","","","","NA"
"2012-03-01 03:00","2012","03","01","03:00"," ","","M","","M","","M","4","","24","","","","100.74","","","","","","NA"
"2012-03-01 04:00","2012","03","01","04:00"," ","","M","","M","","M","4","","26","","","","100.64","","","","","","NA"
"2012-03-01 05:00","2012","03","01","05:00"," ","","M","","M","","M","4","","22","","","","100.62","","","","","","NA"
"2012-03-01 06:00","2012","03","01","06:00"," ","","M","","M","","M","4","","24","","","","100.61","","","","","","NA"
"2012-03-01 07:00","2012","03","01","07:00"," ","","M","","M","","M","5","","24","","","","100.62","","","","","","NA"
"2012-03-01 08:00","2012","03","01","08:00"," ","","M","","M","","M","4","","24","","","","100.63","","","","","","NA"
"2012-03-01 09:00","2012","03","01","09:00"," ","","M","","M","","M","4","","26","","","","100.64","","","","","","NA"
"2012-03-01 10:00","2012","03","01","10:00"," ","","M","","M","","M","4","","24","","","","100.66","","","","","","NA"
"2012-03-01 11:00","2012","03","01","11:00"," ","","M","","M","","M","4","","22","","","","100.69","","","","","","NA"
"2012-03-01 12:00","2012","03","01","12:00"," ","","M","","M","","M","4","","24","","","","100.69","","","","","","NA"
"2012-03-01 13:00","2012","03","01","13:00"," ","","M","","M","","M","4","","22","","","","100.69","","","","","","NA"
"2012-03-01 14:00","2012","03","01","14:00"," ","","M","","M","","M","4","","19","","","","100.71","","","","","","NA"
"2012-03-01 15:00","2012","03","01","15:00"," ","","M","","M","","M","4","","19","","","","100.73","","","","","","NA"
"2012-03-01 16:00","2012","03","01","16:00"," ","","M","","M","","M","5","","15","","","","100.77","","","","","","NA"
"2012-03-01 17:00","2012","03","01","17:00"," ","","M","","M","","M","5","","13","","","","100.83","","","","","","NA"
"2012-03-01 18:00","2012","03","01","18:00"
"2012-03-01 19:00","2012","03","01","19:00"," ","","M","","M","","M","4","","17","","","","100.96","","","","","","NA"
"2012-03-01 20:00","2012","03","01","20:00"," ","","M","","M","","M","5","","17","","","","100.99","","","","","","NA"
"2012-03-01 21:00","2012","03","01","21:00"," ","","M","","M","","M","4","","19","","","","101.02","","","","","","NA"
"2012-03-01 22:00","2012","03","01","22:00"," ","","M","","M","","M","4","","19","","","","101.03","","","","","","NA"
"2012-03-01 23:00","2012","03","01","23:00"," ","","M","","M","","M","5","","15","","","","101.08","","","","","","NA"
"2012-03-02 00:00","2012","03","02","00:00"," ","","M","","M","","M","4","","19","","","","101.07","","","","","","NA"
"2012-03-02 01:00","2012","03","02","01:00"," ","","M","","M","","M","4","","17","","","","101.12","","","","","","NA"
"2012-03-02 02:00","2012","03","02","02:00"," ","","M","","M","","M","4","","15","","","","101.14","","","","","","NA"
"2012-03-02 03:00","2012","03","02","03:00"," ","","M","","M","","M","2","","15","","","","101.19","","","","","","NA"
"2012-03-02 04:00","2012","03","02","04:00"," ","","M","","M","","M","4","","17","","","","101.18","","","","","","NA"
"2012-03-02 05:00","2012","03","02","05:00"," ","","M","","M","","M","4","","15","","","","101.18","","","","","","NA"
"2012-03-02 06:00","2012","03","02","06:00"," ","","M","","M","","M","4","","15","","","","101.18","","","","","","NA"
"2012-03-02 07:00","2012","03","02","07:00"," ","","M","","M","","M","4","","15","","","","101.21","","","","","","NA"
"2012-03-02 08:00","2012","03","02","08:00"," ","","M","","M","","M","2","","15","","","","101.24","","","","","","NA"
"2012-03-02 09:00","2012","03","02","09:00"," ","","M","","M","","M","2","","15","","","","101.22","","","","","","NA"
"2012-03-02 10:00","2012","03","02","10:00"," ","","M","","M","","M","1","","15","","","","101.25","","","","","","NA"
"2012-03-02 11:00","2012","03","02","11:00"," ","","M","","M","","M","2","","13","","","","101.25","","","","","","NA"
"2012-03-02 12:00","2012","03","02","12:00"," ","","M","","M","","M","2","","13","","","","101.22","","","","","","NA"
"2012-03-02 13:00","2012","03","02","13:00"," ","","M","","M","","M","2","","15","","","","101.12","","","","","","NA"
"2012-03-02 14:00","2012","03","02","14:00"," ","","M","","M","","M","2","","15","","","","101.07","","","","","","NA"
"2012-03-02 15:00","2012","03","02","15:00"," ","","M","","M","","M","3","","15","","","","101.02","","","","","","NA"
"2012-03-02 16:00","2012","03","02","16:00"," ","","M","","M","","M","2","","15","","","","100.96","","","","","","NA"
"2012-03-02 17:00","2012","03","02","17:00"," ","","M","","M","","M","2","","17","","","","100.93","","","","","","NA"
"2012-03-02 18:00","2012","03","02","18:00"," ","","M","","M","","M","3","","17","","","","100.85","","","","","","NA"
"2012-03-02 19:00","2012","03","02","19:00"," ","","M","","M","","M","3","","15","","","","100.78","","","","","","NA"
"2012-03-02 20:00","2012","03","02","20:00"," ","","M","","M","","M","3","","9","","","","100.77","","","","","","NA"
"2012-03-02 21:00","2012","03","02","21:00"," ","","M","","M","","M","4","","7","","","","100.66","","","","","","NA"
"2012-03-02 22:00","2012","03","02","22:00"," ","","M","","M","","M","12","","15","","","","100.52","","","","","","NA"
"2012-03-02 23:00","2012","03","02","23:00"," ","","M","","M","","M","12","","22","","","","100.31","","","","","","NA"
"2012-03-03 00:00","2012","03","03","00:00"," ","","M","","M","","M","13","","26","","","","100.15","","","","","","NA"
"2012-03-03 01:00","2012","03","03","01:00"," ","","M","","M","","M","11","","19","","","","99.97","","","","","","NA"
"2012-03-03 02:00","2012","03","03","02:00"," ","","M","","M","","M","8","","17","","","","99.78","","","","","","NA"
"2012-03-03 03:00","2012","03","03","03:00"," ","","M","","M","","M","10","","17","","","","99.58","","","","","","NA"
"2012-03-03 04:00","2012","03","03","04:00"," ","","M","","M","","M","12","","24","","","","99.43","","","","","","NA"
"2012-03-03 05:00","2012","03","03","05:00"," ","","M","","M","","M","13","","35","","","","99.21","","","","","","NA"
"2012-03-03 06:00","2012","03","03","06:00"," ","","M","","M","","M","14","","44","","","","99.06","","","","","","NA"
"2012-03-03 07:00","2012","03","03","07:00"," ","","M","","M","","M","14","","37","","","","98.93","","","","","","NA"
"2012-03-03 08:00","2012","03","03","08:00"," ","","M","","M","","M","14","","30","","","","98.81","","","","","","NA"
"2012-03-03 09:00","2012","03","03","09:00"," ","","M","","M","","M","15","","37","","","","98.72","","","","","","NA"
"2012-03-03 10:00","2012","03","03","10:00"," ","","M","","M","","M","22","","13","","","","98.88","","","","","","NA"
"2012-03-03 11:00","2012","03","03","11:00"," ","","M","","M","","M","23","","20","","","","98.85","","","","","","NA"
"2012-03-03 12:00","2012","03","03","12:00"," ","","M","","M","","M","22","","28","","","","98.83","","","","","","NA"
"2012-03-03 13:00","2012","03","03","13:00"," ","","M","","M","","M","23","","32","","","","98.74","","","","","","NA"
"2012-03-03 14:00","2012","03","03","14:00"," ","","M","","M","","M","24","","46","","","","98.68","","","","","","NA"
"2012-03-03 15:00","2012","03","03","15:00"," ","","M","","M","","M","23","","46","","","","98.68","","","","","","NA"
"2012-03-03 16:00","2012","03","03","16:00"," ","","M","","M","","M","23","","39","","","","98.69","","","","","","NA"
"2012-03-03 17:00","2012","03","03","17:00"," ","","M","","M","","M","23","","35","","","","98.73","","","","","","NA"
"2012-03-03 18:00","2012","03","03","18:00"," ","","M","","M","","M","23","","35","","","","98.84","","","","","","NA"
"2012-03-03 19:00","2012","03","03","19:00"," ","","M","","M","","M","22","","32","","","","98.94","","","","","","NA"
"2012-03-03 20:00","2012","03","03","20:00"," ","","M","","M","","M","22","","32","","","","98.98","","","","","","NA"
"2012-03-03 21:00","2012","03","03","21:00"," ","","M","","M","","M","23","","37","","","","99.00","","","","","","NA"
"2012-03-03 22:00","2012","03","03","22:00"," ","","M","","M","","M","23","","39","","","","99.08","","","","","","NA"
"2012-03-03 23:00","2012","03","03","23:00"," ","","M","","M","","M","24","","33","","","","99.20","","","","","","NA"
"2012-03-04 00:00","2012","03","04","00:00"," ","","M","","M","","M","28","","32","","","","99.36","","","","","","NA"
"2012-03-04 01:00","2012","03","04","01:00"," ","","M","","M","","M","28","","28","","","","99.47","","","","","","NA"
"2012-03-04 02:00","2012","03","04","02:00"," ","","M","","M","","M","27","","26","","","","99.58","","","","","","NA"
"2012-03-04 03:00","2012","03","04","03:00"," ","","M","","M","","M","27","","20","","","","99.66","","","","","","NA"
"2012-03-04 04:00","2012","03","04","04:00"," ","","M","","M","","M","30","","22","","","","99.72","","","","","","NA"
"2012-03-04 05:00","2012","03","04","05:00"," ","","M","","M","","M","32","","20","","","","99.80","","","","","","NA"
"2012-03-04 06:00","2012","03","04","06:00"," ","","M","","M","","M","27","","15","","","","99.85","","","","","","NA"
"2012-03-04 07:00","2012","03","04","07:00"," ","","M","","M","","M","29","","20","","","","99.92","","","","","","NA"
"2012-03-04 08:00","2012","03","04","08:00"," ","","M","","M","","M","27","","15","","","","99.99","","","","","","NA"
"2012-03-04 09:00","2012","03","04","09:00"," ","","M","","M","","M","29","","15","","","","99.98","","","","","","NA"
"2012-03-04 10:00","2012","03","04","10:00"," ","","M","","M","","M","26","","13","","","","99.99","","","","","","NA"
"2012-03-04 11:00","2012","03","04","11:00"," ","","M","","M","","M","28","","15","","","","99.98","","","","","","NA"
"2012-03-04 12:00","2012","03","04","12:00"," ","","M","","M","","M","27","","15","","","","99.98","","","","","","NA"
"2012-03-04 13:00","2012","03","04","13:00"," ","","M","","M","","M","28","","19","","","","99.92","","","","","","NA"
"2012-03-04 14:00","2012","03","04","14:00"," ","","M","","M","","M","27","","17","","","","99.92","","","","","","NA"
"2012-03-04 15:00","2012","03","04","15:00"," ","","M","","M","","M","27","","20","","","","99.92","","","","","","NA"
"2012-03-04 16:00","2012","03","04","16:00"," ","","M","","M","","M","27","","22","","","","99.96","","","","","","NA"
"2012-03-04 17:00","2012","03","04","17:00"," ","","M","","M","","M","28","","24","","","","99.97","","","","","","NA"
"2012-03-04 18:00","2012","03","04","18:00"," ","","M","","M","","M","27","","22","","","","100.06","","","","","","NA"
"2012-03-04 19:00","2012","03","04","19:00"," ","","M","","M","","M","27","","19","","","","100.12","","","","","","NA"
"2012-03-04 20:00","2012","03","04","20:00"," ","","M","","M","","M","28","","20","","","","100.16","","","","","","NA"
"2012-03-04 21:00","2012","03","04","21:00"," ","","M","","M","","M","28","","19","","","","100.20","","","","","","NA"
"2012-03-04 22:00","2012","03","04","22:00"," ","","M","","M","","M","29","","17","","","","100.24","","","","","","NA"
"2012-03-04 23:00","2012","03","04","23:00"," ","","M","","M","","M","28","","20","","","","100.26","","","","","","NA"
"2012-03-05 00:00","2012","03","05","00:00"," ","","M","","M","","M","27","","20","","","","100.29","","","","","","NA"
"2012-03-05 01:00","2012","03","05","01:00"," ","","M","","M","","M","27","","22","","","","100.36","","","","","","NA"
"2012-03-05 02:00","2012","03","05","02:00"," ","","M","","M","","M","27","","22","","","","100.43","","","","","","NA"
"2012-03-05 03:00","2012","03","05","03:00"," ","","M","","M","","M","27","","20","","","","100.50","","","","","","NA"
"2012-03-05 04:00","2012","03","05","04:00"," ","","M","","M","","M","27","","22","","","","100.59","","","","","","NA"
"2012-03-05 05:00","2012","03","05","05:00"," ","","M","","M","","M","26","","19","","","","100.72","","","","","","NA"
"2012-03-05 06:00","2012","03","05","06:00"," ","","M","","M","","M","26","","24","","","","100.79","","","","","","NA"
"2012-03-05 07:00","2012","03","05","07:00"," ","","M","","M","","M","26","","20","","","","100.90","","","","","","NA"
"2012-03-05 08:00","2012","03","05","08:00"," ","","M","","M","","M","27","","24","","","","101.03","","","","","","NA"
"2012-03-05 09:00","2012","03","05","09:00"," ","","M","","M","","M","26","","24","","","","101.14","","","","","","NA"
"2012-03-05 10:00","2012","03","05","10:00"," ","","M","","M","","M","27","","26","","","","101.24","","","","","","NA"
"2012-03-05 11:00","2012","03","05","11:00"," ","","M","","M","","M","27","","24","","","","101.35","","","","","","NA"
"2012-03-05 12:00","2012","03","05","12:00"," ","","M","","M","","M","26","","22","","","","101.41","","","","","","NA"
"2012-03-05 13:00","2012","03","05","13:00"," ","","M","","M","","M","27","","22","","","","101.49","","","","","","NA"
"2012-03-05 14:00","2012","03","05","14:00"," ","","M","","M","","M","26","","24","","","","101.59","","","","","","NA"
"2012-03-05 15:00","2012","03","05","15:00"," ","","M","","M","","M","25","","24","","","","101.68","","","","","","NA"
"2012-03-05 16:00","2012","03","05","16:00"," ","","M","","M","","M","25","","22","","","","101.76","","","","","","NA"
"2012-03-05 17:00","2012","03","05","17:00"," ","","M","","M","","M","25","","20","","","","101.86","","","","","","NA"
"2012-03-05 18:00","2012","03","05","18:00"," ","","M","","M","","M","26","","20","","","","101.94","","","","","","NA"
"2012-03-05 19:00","2012","03","05","19:00"," ","","M","","M","","M","26","","17","","","","102.04","","","","","","NA"
"2012-03-05 20:00","2012","03","05","20:00"," ","","M","","M","","M","27","","17","","","","102.14","","","","","","NA"
"2012-03-05 21:00","2012","03","05","21:00"," ","","M","","M","","M","27","","15","","","","102.27","","","","","","NA"
"2012-03-05 22:00","2012","03","05","22:00"," ","","M","","M","","M","29","","15","","","","102.33","","","","","","NA"
"2012-03-05 23:00","2012","03","05","23:00"," ","","M","","M","","M","28","","13","","","","102.38","","","","","","NA"
